AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.11.2016 at 10:48:14 Compatible with AeroDyn v13.0.
Polar "T1_Re0.160_M0.00_N4.0 360 M" on Foil "T1_Re0.160_M0.00_N4.0" :: generated by QBlade
modified the QBlade format to be compatible with openFAST v7
1              Number of airfoil tables in this file
0.160          Table ID parameter
0.0            Control setting
13.00          Stall angle (deg)
-4.11          Angle of attack for zero Cn for linear Cn curve (deg)
6.27188        Cn slope for zero lift for linear Cn curve (1/rad)
1.1471         Cn at stall value for positive angle of attack for linear Cn curve
-0.6291        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0126         Minimum CD value
    -58.00   -0.3850    1.1844
    -57.00   -0.3933    1.1588
    -56.00   -0.4012    1.1327
    -55.00   -0.4089    1.1063
    -54.00   -0.4163    1.0795
    -53.00   -0.4233    1.0523
    -52.00   -0.4301    1.0249
    -51.00   -0.4364    0.9972
    -50.00   -0.4425    0.9693
    -49.00   -0.4481    0.9412
    -48.00   -0.4533    0.9130
    -47.00   -0.4582    0.8846
    -46.00   -0.4626    0.8561
    -45.00   -0.4665    0.8276
    -44.00   -0.4700    0.7990
    -43.00   -0.4730    0.7705
    -42.00   -0.4755    0.7419
    -41.00   -0.4775    0.7135
    -40.00   -0.4789    0.6852
    -39.00   -0.4799    0.6570
    -38.00   -0.4803    0.6290
    -37.00   -0.4801    0.6012
    -36.00   -0.4794    0.5736
    -35.00   -0.4782    0.5464
    -34.00   -0.4763    0.5194
    -33.00   -0.4739    0.4928
    -32.00   -0.4710    0.4665
    -31.00   -0.4674    0.4407
    -30.00   -0.4634    0.4152
    -29.00   -0.4588    0.3903
    -28.00   -0.4536    0.3658
    -27.00   -0.4480    0.3419
    -26.00   -0.4419    0.3185
    -25.00   -0.4353    0.2957
    -24.00   -0.4283    0.2735
    -23.00   -0.4209    0.2519
    -22.00   -0.4132    0.2311
    -21.00   -0.4051    0.2108
    -20.00   -0.3968    0.1914
    -19.00   -0.3882    0.1726
    -18.00   -0.3794    0.1547
    -17.00   -0.3704    0.1375
    -16.00   -0.3612    0.1212
    -15.00   -0.3516    0.1058
    -14.00   -0.3415    0.0913
    -13.00   -0.3305    0.0778
    -12.00   -0.3182    0.0654
    -11.00   -0.3036    0.0541
    -10.00   -0.6338    0.0283
     -9.50   -0.5811    0.0264
     -9.00   -0.5313    0.0247
     -8.50   -0.4797    0.0231
     -8.00   -0.4267    0.0219
     -7.50   -0.3727    0.0207
     -7.00   -0.3183    0.0196
     -6.50   -0.2633    0.0186
     -6.00   -0.2079    0.0178
     -5.50   -0.1523    0.0170
     -5.00   -0.0976    0.0163
     -4.50   -0.0432    0.0158
     -4.00    0.0121    0.0153
     -3.50    0.0671    0.0148
     -3.00    0.1213    0.0145
     -2.50    0.1760    0.0142
     -2.00    0.2297    0.0140
     -1.50    0.2835    0.0138
     -1.00    0.3365    0.0136
     -0.50    0.3890    0.0134
      0.00    0.4394    0.0131
      0.50    0.4876    0.0128
      1.00    0.5360    0.0126
      1.50    0.6077    0.0128
      2.00    0.6796    0.0131
      2.50    0.7271    0.0134
      3.00    0.7754    0.0138
      3.50    0.8242    0.0141
      4.00    0.8731    0.0146
      4.50    0.9219    0.0150
      5.00    0.9703    0.0154
      5.50    1.0180    0.0159
      6.00    1.0647    0.0165
      6.50    1.1101    0.0170
      7.00    1.1536    0.0176
      7.50    1.1946    0.0182
      8.00    1.2322    0.0189
      8.50    1.2633    0.0197
      9.00    1.2914    0.0208
      9.50    1.3168    0.0221
     10.00    1.3389    0.0236
     10.50    1.3571    0.0256
     11.00    1.3711    0.0280
     11.50    1.3811    0.0309
     12.00    1.3879    0.0344
     12.50    1.3921    0.0383
     13.00    1.3942    0.0428
     13.50    1.3931    0.0479
     14.00    1.3922    0.0534
     14.50    1.3891    0.0594
     15.00    1.3846    0.0658
     15.50    1.3793    0.0726
     16.00    1.3731    0.0797
     16.50    1.3659    0.0872
     17.00    1.3580    0.0949
     17.50    1.3527    0.1024
     18.00    1.3461    0.1102
     18.50    1.3401    0.1181
     19.00    1.3366    0.1257
     19.50    1.3316    0.1336
     20.00    1.3305    0.1411
     20.50    1.3277    0.1488
     21.00    1.3270    0.1564
     21.50    1.3260    0.1640
     22.00    1.3243    0.1720
     22.50    1.3233    0.1799
     23.00    1.3195    0.1885
     23.50    1.3139    0.1978
     24.00    1.3115    0.2064
     24.50    1.2775    0.2242
     25.00    1.2700    0.2351
     26.00    1.2139    0.2933
     27.00    1.2134    0.3195
     28.00    1.2148    0.3463
     29.00    1.2180    0.3736
     30.00    1.2226    0.4014
     31.00    1.2283    0.4297
     32.00    1.2350    0.4584
     33.00    1.2423    0.4875
     34.00    1.2501    0.5169
     35.00    1.2582    0.5467
     36.00    1.2664    0.5768
     37.00    1.2745    0.6072
     38.00    1.2825    0.6377
     39.00    1.2901    0.6685
     40.00    1.2973    0.6995
     41.00    1.3039    0.7306
     42.00    1.3099    0.7619
     43.00    1.3151    0.7932
     44.00    1.3196    0.8245
     45.00    1.3231    0.8559
     46.00    1.3257    0.8872
     47.00    1.3273    0.9185
     48.00    1.3279    0.9497
     49.00    1.3273    0.9807
     50.00    1.3256    1.0116
     51.00    1.3227    1.0423
     52.00    1.3185    1.0728
     53.00    1.3131    1.1030
     54.00    1.3064    1.1328
     55.00    1.2984    1.1624
     56.00    1.2891    1.1915
     57.00    1.2784    1.2203
     58.00    1.2664    1.2486
     59.00    1.2530    1.2764
     60.00    1.2383    1.3037
     61.00    1.2221    1.3305
     62.00    1.2046    1.3567
     63.00    1.1858    1.3823
     64.00    1.1655    1.4072
     65.00    1.1439    1.4315
     66.00    1.1210    1.4551
     67.00    1.0967    1.4780
     68.00    1.0712    1.5001
     69.00    1.0443    1.5214
     70.00    1.0161    1.5419
     71.00    0.9867    1.5616
     72.00    0.9561    1.5805
     73.00    0.9243    1.5984
     74.00    0.8913    1.6155
     75.00    0.8572    1.6316
     76.00    0.8220    1.6468
     77.00    0.7858    1.6611
     78.00    0.7485    1.6743
     79.00    0.7103    1.6866
     80.00    0.6712    1.6978
     81.00    0.6311    1.7081
     82.00    0.5903    1.7173
     83.00    0.5487    1.7254
     84.00    0.5063    1.7326
     85.00    0.4633    1.7386
     86.00    0.4196    1.7436
     87.00    0.3754    1.7475
     88.00    0.3307    1.7503
     89.00    0.2855    1.7520
     90.00    0.2400    1.7526
     91.00    0.1941    1.7522
     92.00    0.1480    1.7507
     93.00    0.1017    1.7480
     94.00    0.0553    1.7443
     95.00    0.0087    1.7396
     96.00   -0.0378    1.7337
     97.00   -0.0842    1.7268
     98.00   -0.1306    1.7189
     99.00   -0.1767    1.7099
    100.00   -0.2226    1.6998
    101.00   -0.2681    1.6888
    102.00   -0.3133    1.6767
    103.00   -0.3579    1.6637
    104.00   -0.4021    1.6497
    105.00   -0.4457    1.6347
    106.00   -0.4886    1.6188
    107.00   -0.5308    1.6020
    108.00   -0.5809    1.5843
    109.00   -0.6213    1.5657
    110.00   -0.6608    1.5463
    111.00   -0.6994    1.5260
    112.00   -0.7369    1.5050
    113.00   -0.7734    1.4832
    114.00   -0.8088    1.4606
    115.00   -0.8429    1.4373
    116.00   -0.8759    1.4134
    117.00   -0.9076    1.3887
    118.00   -0.9380    1.3635
    119.00   -0.9670    1.3376
    120.00   -0.9946    1.3112
    121.00   -1.0208    1.2843
    122.00   -1.0454    1.2569
    123.00   -1.0686    1.2290
    124.00   -1.0902    1.2007
    125.00   -1.1103    1.1720
    126.00   -1.1287    1.1430
    127.00   -1.1455    1.1136
    128.00   -1.1607    1.0840
    129.00   -1.1742    1.0541
    130.00   -1.1860    1.0240
    131.00   -1.1961    0.9937
    132.00   -1.2046    0.9633
    133.00   -1.2113    0.9328
    134.00   -1.2163    0.9022
    135.00   -1.2197    0.8717
    136.00   -1.2213    0.8411
    137.00   -1.2212    0.8106
    138.00   -1.2195    0.7802
    139.00   -1.2161    0.7499
    140.00   -1.2111    0.7198
    141.00   -1.2044    0.6899
    142.00   -1.1962    0.6602
    143.00   -1.1863    0.6309
    144.00   -1.1750    0.6018
    145.00   -1.1621    0.5731
    146.00   -1.1478    0.5447
    147.00   -1.1321    0.5168
    148.00   -1.1150    0.4893
    149.00   -1.0965    0.4623
    150.00   -1.0769    0.4358
    151.00   -1.0560    0.4099
    152.00   -1.0340    0.3846
    153.00   -1.0110    0.3598
    154.00   -0.9870    0.3357
    155.00   -0.9621    0.3123
    156.00   -0.9364    0.2896
    157.00   -0.9101    0.2675
    158.00   -0.8834    0.2463
    159.00   -0.8563    0.2258
    160.00   -0.8291    0.2061
    161.00   -0.8020    0.1872
    162.00   -0.7755    0.1691
    163.00   -0.7499    0.1519
    164.00   -0.7259    0.1356
    165.00   -0.7041    0.1202
    166.00   -0.6856    0.1058
    167.00   -0.6717    0.0922
    168.00   -0.6636    0.0796
    169.00   -0.6623    0.0679
    170.00   -0.6675    0.0573
    171.00   -0.6751    0.0476
    172.00   -0.6762    0.0389
    173.00   -0.6588    0.0312
    174.00   -0.6155    0.0245
    175.00   -0.5490    0.0189
    176.00   -0.4684    0.0142
    177.00   -0.3824    0.0106
    178.00   -0.2953    0.0081
    179.00   -0.2081    0.0065
    180.00   -0.1209    0.0060
    180.00   -0.1209    0.0060
