AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.11.2016 at 10:48:14 Compatible with AeroDyn v13.0.
Polar "T1_Re0.042_M0.00_N4.0 360 M" on Foil "T1_Re0.042_M0.00_N4.0" :: generated by QBlade
modified the QBlade format to be compatible with openFAST v7
1              Number of airfoil tables in this file
0.042          Table ID parameter
0.0            Control setting
48.00          Stall angle (deg)
-2.90          Angle of attack for zero Cn for linear Cn curve (deg)
6.73610        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3778        Cn at stall value for positive angle of attack for linear Cn curve
-0.3261        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0267         Minimum CD value
   -124.00    0.4358    1.1345
   -123.00    0.4236    1.1605
   -122.00    0.4112    1.1860
   -121.00    0.3984    1.2112
   -120.00    0.3853    1.2358
   -119.00    0.3719    1.2599
   -118.00    0.3582    1.2836
   -117.00    0.3443    1.3066
   -116.00    0.3301    1.3291
   -115.00    0.3158    1.3509
   -114.00    0.3013    1.3721
   -113.00    0.2866    1.3927
   -112.00    0.2717    1.4125
   -111.00    0.2567    1.4317
   -110.00    0.2394    1.4501
   -109.00    0.2242    1.4677
   -108.00    0.2089    1.4846
   -107.00    0.1935    1.5007
   -106.00    0.1780    1.5159
   -105.00    0.1625    1.5304
   -104.00    0.1470    1.5439
   -103.00    0.1314    1.5566
   -102.00    0.1158    1.5685
   -101.00    0.1002    1.5794
   -100.00    0.0847    1.5894
    -99.00    0.0691    1.5985
    -98.00    0.0535    1.6067
    -97.00    0.0380    1.6139
    -96.00    0.0226    1.6202
    -95.00    0.0071    1.6255
    -94.00   -0.0082    1.6299
    -93.00   -0.0236    1.6333
    -92.00   -0.0388    1.6357
    -91.00   -0.0540    1.6371
    -90.00   -0.0691    1.6376
    -89.00   -0.0841    1.6371
    -88.00   -0.0990    1.6356
    -87.00   -0.1138    1.6332
    -86.00   -0.1285    1.6297
    -85.00   -0.1431    1.6253
    -84.00   -0.1576    1.6200
    -83.00   -0.1720    1.6136
    -82.00   -0.1862    1.6064
    -81.00   -0.2003    1.5982
    -80.00   -0.2143    1.5890
    -79.00   -0.2281    1.5790
    -78.00   -0.2418    1.5680
    -77.00   -0.2553    1.5561
    -76.00   -0.2686    1.5434
    -75.00   -0.2818    1.5297
    -74.00   -0.2947    1.5153
    -73.00   -0.3075    1.5000
    -72.00   -0.3201    1.4838
    -71.00   -0.3324    1.4669
    -70.00   -0.3446    1.4492
    -69.00   -0.3565    1.4308
    -68.00   -0.3682    1.4116
    -67.00   -0.3796    1.3917
    -66.00   -0.3907    1.3711
    -65.00   -0.4016    1.3498
    -64.00   -0.4122    1.3279
    -63.00   -0.4225    1.3054
    -62.00   -0.4325    1.2823
    -61.00   -0.4421    1.2586
    -60.00   -0.4515    1.2344
    -59.00   -0.4604    1.2097
    -58.00   -0.4691    1.1845
    -57.00   -0.4773    1.1588
    -56.00   -0.4852    1.1328
    -55.00   -0.4926    1.1063
    -54.00   -0.4997    1.0795
    -53.00   -0.5063    1.0524
    -52.00   -0.5125    1.0250
    -51.00   -0.5182    0.9973
    -50.00   -0.5235    0.9695
    -49.00   -0.5283    0.9414
    -48.00   -0.5326    0.9131
    -47.00   -0.5364    0.8848
    -46.00   -0.5397    0.8563
    -45.00   -0.5424    0.8278
    -44.00   -0.5446    0.7992
    -43.00   -0.5463    0.7707
    -42.00   -0.5474    0.7422
    -41.00   -0.5480    0.7138
    -40.00   -0.5480    0.6855
    -39.00   -0.5474    0.6573
    -38.00   -0.5462    0.6293
    -37.00   -0.5445    0.6016
    -36.00   -0.5421    0.5741
    -35.00   -0.5392    0.5468
    -34.00   -0.5356    0.5199
    -33.00   -0.5315    0.4933
    -32.00   -0.5268    0.4671
    -31.00   -0.5216    0.4413
    -30.00   -0.5157    0.4159
    -29.00   -0.5093    0.3911
    -28.00   -0.5024    0.3667
    -27.00   -0.4950    0.3428
    -26.00   -0.4870    0.3195
    -25.00   -0.4786    0.2968
    -24.00   -0.4697    0.2747
    -23.00   -0.4604    0.2533
    -22.00   -0.4507    0.2325
    -21.00   -0.4407    0.2124
    -20.00   -0.4303    0.1931
    -19.00   -0.4197    0.1745
    -18.00   -0.4088    0.1567
    -17.00   -0.3976    0.1397
    -16.00   -0.3862    0.1236
    -15.00   -0.3745    0.1084
    -14.00   -0.3624    0.0940
    -13.00   -0.3497    0.0807
    -12.00   -0.3361    0.0684
    -11.00   -0.3211    0.0571
    -10.00   -0.3652    0.1045
     -9.50   -0.3962    0.0967
     -9.00   -0.4483    0.0876
     -8.50   -0.5213    0.0767
     -8.00   -0.5306    0.0669
     -7.50   -0.5220    0.0538
     -7.00   -0.4763    0.0486
     -6.50   -0.4256    0.0439
     -6.00   -0.3731    0.0405
     -5.50   -0.3158    0.0378
     -5.00   -0.2553    0.0357
     -4.50   -0.1931    0.0342
     -4.00   -0.1288    0.0328
     -3.50   -0.0696    0.0317
     -3.00   -0.0120    0.0308
     -2.50    0.0468    0.0300
     -2.00    0.1054    0.0292
     -1.50    0.1626    0.0283
     -1.00    0.2090    0.0277
     -0.50    0.2545    0.0270
      0.00    0.3486    0.0267
      0.50    0.4005    0.0269
      1.00    0.4538    0.0272
      1.50    0.4978    0.0279
      2.00    0.5456    0.0286
      2.50    0.5942    0.0293
      3.00    0.6427    0.0300
      3.50    0.6905    0.0308
      4.00    0.7372    0.0317
      4.50    0.7828    0.0327
      5.00    0.8271    0.0338
      5.50    0.8701    0.0350
      6.00    0.9093    0.0363
      6.50    0.9350    0.0384
      7.00    0.9605    0.0404
      7.50    0.9874    0.0425
      8.00    1.0156    0.0445
      8.50    1.0459    0.0464
      9.00    1.0501    0.0503
      9.50    1.0596    0.0541
     10.00    1.0875    0.0560
     10.50    1.0712    0.0627
     11.50    1.0889    0.0711
     12.00    1.0836    0.0774
     12.50    1.1126    0.0787
     13.00    1.1022    0.0860
     13.50    1.0997    0.0924
     14.00    1.1244    0.0942
     14.50    1.1105    0.1029
     15.00    1.1185    0.1079
     15.50    1.1118    0.1159
     16.00    1.1267    0.1198
     16.50    1.1040    0.1319
     17.00    1.0879    0.1433
     17.50    1.0765    0.1543
     18.00    1.0658    0.1659
     18.50    1.0564    0.1780
     19.00    1.0500    0.1899
     19.50    1.0493    0.2005
     20.00    1.0570    0.2085
     20.50    1.0624    0.2176
     21.00    1.0654    0.2279
     21.50    1.0807    0.2336
     22.00    1.0834    0.2443
     22.50    1.0988    0.2501
     23.00    1.1044    0.2595
     23.50    1.1168    0.2663
     24.00    1.1290    0.2732
     24.50    1.1391    0.2807
     25.00    1.1517    0.2873
     26.00    1.1758    0.2909
     27.00    1.1979    0.3137
     28.00    1.2192    0.3373
     29.00    1.2396    0.3616
     30.00    1.2591    0.3865
     31.00    1.2778    0.4121
     32.00    1.2955    0.4383
     33.00    1.3124    0.4651
     34.00    1.3283    0.4924
     35.00    1.3432    0.5203
     36.00    1.3572    0.5485
     37.00    1.3702    0.5773
     38.00    1.3821    0.6064
     39.00    1.3930    0.6358
     40.00    1.4029    0.6656
     41.00    1.4116    0.6956
     42.00    1.4192    0.7259
     43.00    1.4257    0.7563
     44.00    1.4310    0.7869
     45.00    1.4351    0.8177
     46.00    1.4381    0.8484
     47.00    1.4398    0.8793
     48.00    1.4403    0.9101
     49.00    1.4395    0.9408
     50.00    1.4374    0.9715
     51.00    1.4341    1.0020
     52.00    1.4294    1.0324
     53.00    1.4235    1.0625
     54.00    1.4162    1.0924
     55.00    1.4076    1.1220
     56.00    1.3977    1.1513
     57.00    1.3864    1.1802
     58.00    1.3738    1.2088
     59.00    1.3599    1.2368
     60.00    1.3446    1.2645
     61.00    1.3279    1.2916
     62.00    1.3100    1.3181
     63.00    1.2907    1.3441
     64.00    1.2701    1.3695
     65.00    1.2482    1.3942
     66.00    1.2251    1.4182
     67.00    1.2006    1.4416
     68.00    1.1749    1.4642
     69.00    1.1480    1.4861
     70.00    1.1199    1.5071
     71.00    1.0906    1.5274
     72.00    1.0601    1.5468
     73.00    1.0285    1.5653
     74.00    0.9958    1.5829
     75.00    0.9621    1.5997
     76.00    0.9273    1.6155
     77.00    0.8915    1.6303
     78.00    0.8548    1.6442
     79.00    0.8172    1.6571
     80.00    0.7787    1.6689
     81.00    0.7394    1.6798
     82.00    0.6993    1.6896
     83.00    0.6585    1.6984
     84.00    0.6170    1.7061
     85.00    0.5749    1.7128
     86.00    0.5322    1.7184
     87.00    0.4890    1.7229
     88.00    0.4453    1.7263
     89.00    0.4012    1.7286
     90.00    0.3568    1.7299
     91.00    0.3121    1.7300
     92.00    0.2671    1.7291
     93.00    0.2220    1.7271
     94.00    0.1767    1.7240
     95.00    0.1314    1.7198
     96.00    0.0861    1.7145
     97.00    0.0409    1.7081
     98.00   -0.0042    1.7007
     99.00   -0.0491    1.6923
    100.00   -0.0938    1.6828
    101.00   -0.1381    1.6723
    102.00   -0.1820    1.6608
    103.00   -0.2255    1.6482
    104.00   -0.2685    1.6347
    105.00   -0.3109    1.6203
    106.00   -0.3526    1.6049
    107.00   -0.3937    1.5885
    108.00   -0.5516    1.5713
    109.00   -0.5896    1.5532
    110.00   -0.6267    1.5342
    111.00   -0.6630    1.5144
    112.00   -0.6983    1.4938
    113.00   -0.7325    1.4724
    114.00   -0.7658    1.4502
    115.00   -0.7979    1.4273
    116.00   -0.8288    1.4038
    117.00   -0.8586    1.3795
    118.00   -0.8871    1.3547
    119.00   -0.9143    1.3292
    120.00   -0.9402    1.3031
    121.00   -0.9647    1.2766
    122.00   -0.9878    1.2495
    123.00   -1.0095    1.2219
    124.00   -1.0297    1.1939
    125.00   -1.0485    1.1656
    126.00   -1.0657    1.1368
    127.00   -1.0813    1.1077
    128.00   -1.0955    1.0784
    129.00   -1.1080    1.0488
    130.00   -1.1190    1.0189
    131.00   -1.1283    0.9889
    132.00   -1.1361    0.9588
    133.00   -1.1422    0.9285
    134.00   -1.1468    0.8982
    135.00   -1.1497    0.8678
    136.00   -1.1510    0.8375
    137.00   -1.1508    0.8072
    138.00   -1.1489    0.7770
    139.00   -1.1455    0.7469
    140.00   -1.1405    0.7170
    141.00   -1.1340    0.6873
    142.00   -1.1259    0.6578
    143.00   -1.1164    0.6285
    144.00   -1.1054    0.5996
    145.00   -1.0930    0.5711
    146.00   -1.0792    0.5429
    147.00   -1.0641    0.5151
    148.00   -1.0476    0.4877
    149.00   -1.0299    0.4609
    150.00   -1.0110    0.4345
    151.00   -0.9910    0.4087
    152.00   -0.9699    0.3834
    153.00   -0.9478    0.3588
    154.00   -0.9247    0.3348
    155.00   -0.9008    0.3114
    156.00   -0.8762    0.2888
    157.00   -0.8509    0.2669
    158.00   -0.8252    0.2457
    159.00   -0.7991    0.2252
    160.00   -0.7729    0.2056
    161.00   -0.7469    0.1868
    162.00   -0.7213    0.1688
    163.00   -0.6966    0.1516
    164.00   -0.6734    0.1354
    165.00   -0.6524    0.1200
    166.00   -0.6346    0.1056
    167.00   -0.6213    0.0921
    168.00   -0.6141    0.0795
    169.00   -0.6141    0.0679
    170.00   -0.6216    0.0572
    171.00   -0.6331    0.0476
    172.00   -0.6399    0.0389
    173.00   -0.6286    0.0312
    174.00   -0.5894    0.0246
    175.00   -0.5239    0.0189
    176.00   -0.4422    0.0143
    177.00   -0.3539    0.0107
    178.00   -0.2644    0.0081
    179.00   -0.1748    0.0066
    180.00   -0.0852    0.0061
    180.00   -0.0852    0.0060
