AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.11.2016 at 10:48:14 Compatible with AeroDyn v13.0.
Polar "T1_Re0.330_M0.00_N4.0 360 M" on Foil "T1_Re0.330_M0.00_N4.0" :: generated by QBlade
modified the QBlade format to be compatible with openFAST v7
1              Number of airfoil tables in this file
0.330          Table ID parameter
0.0            Control setting
15.50          Stall angle (deg)
-4.20          Angle of attack for zero Cn for linear Cn curve (deg)
6.18091        Cn slope for zero lift for linear Cn curve (1/rad)
1.1182         Cn at stall value for positive angle of attack for linear Cn curve
-0.6070        Cn at stall value for negative angle of attack for linear Cn curve
2.00           Angle of attack for minimum CD (deg)
0.0103         Minimum CD value
   -109.00    0.1700    1.4677
   -108.00    0.1578    1.4846
   -107.00    0.1458    1.5007
   -106.00    0.1337    1.5159
   -105.00    0.1218    1.5304
   -104.00    0.1098    1.5439
   -103.00    0.0980    1.5566
   -102.00    0.0862    1.5685
   -101.00    0.0745    1.5794
   -100.00    0.0628    1.5894
    -99.00    0.0513    1.5985
    -98.00    0.0398    1.6067
    -97.00    0.0283    1.6139
    -96.00    0.0170    1.6202
    -95.00    0.0057    1.6255
    -94.00   -0.0056    1.6299
    -93.00   -0.0168    1.6333
    -92.00   -0.0279    1.6357
    -91.00   -0.0389    1.6371
    -90.00   -0.0499    1.6376
    -89.00   -0.0609    1.6371
    -88.00   -0.0718    1.6356
    -87.00   -0.0826    1.6331
    -86.00   -0.0935    1.6297
    -85.00   -0.1042    1.6253
    -84.00   -0.1150    1.6199
    -83.00   -0.1257    1.6136
    -82.00   -0.1363    1.6064
    -81.00   -0.1469    1.5981
    -80.00   -0.1575    1.5890
    -79.00   -0.1681    1.5789
    -78.00   -0.1786    1.5680
    -77.00   -0.1891    1.5561
    -76.00   -0.1995    1.5433
    -75.00   -0.2099    1.5297
    -74.00   -0.2203    1.5152
    -73.00   -0.2306    1.4999
    -72.00   -0.2408    1.4838
    -71.00   -0.2510    1.4669
    -70.00   -0.2611    1.4492
    -69.00   -0.2711    1.4307
    -68.00   -0.2811    1.4115
    -67.00   -0.2909    1.3916
    -66.00   -0.3007    1.3710
    -65.00   -0.3103    1.3497
    -64.00   -0.3198    1.3278
    -63.00   -0.3292    1.3053
    -62.00   -0.3384    1.2822
    -61.00   -0.3474    1.2585
    -60.00   -0.3563    1.2343
    -59.00   -0.3650    1.2096
    -58.00   -0.3734    1.1844
    -57.00   -0.3817    1.1587
    -56.00   -0.3897    1.1327
    -55.00   -0.3974    1.1062
    -54.00   -0.4049    1.0794
    -53.00   -0.4120    1.0523
    -52.00   -0.4189    1.0249
    -51.00   -0.4254    0.9972
    -50.00   -0.4315    0.9693
    -49.00   -0.4373    0.9412
    -48.00   -0.4427    0.9129
    -47.00   -0.4477    0.8845
    -46.00   -0.4523    0.8560
    -45.00   -0.4565    0.8275
    -44.00   -0.4602    0.7989
    -43.00   -0.4634    0.7704
    -42.00   -0.4661    0.7419
    -41.00   -0.4684    0.7134
    -40.00   -0.4701    0.6851
    -39.00   -0.4713    0.6569
    -38.00   -0.4720    0.6289
    -37.00   -0.4721    0.6011
    -36.00   -0.4717    0.5735
    -35.00   -0.4707    0.5462
    -34.00   -0.4691    0.5193
    -33.00   -0.4670    0.4926
    -32.00   -0.4643    0.4664
    -31.00   -0.4611    0.4405
    -30.00   -0.4573    0.4151
    -29.00   -0.4530    0.3901
    -28.00   -0.4482    0.3656
    -27.00   -0.4428    0.3417
    -26.00   -0.4370    0.3183
    -25.00   -0.4307    0.2955
    -24.00   -0.4240    0.2733
    -23.00   -0.4169    0.2517
    -22.00   -0.4094    0.2308
    -21.00   -0.4016    0.2105
    -20.00   -0.3935    0.1910
    -19.00   -0.3852    0.1723
    -18.00   -0.3767    0.1543
    -17.00   -0.3679    0.1371
    -16.00   -0.3588    0.1208
    -15.00   -0.3493    0.1053
    -14.00   -0.3393    0.0908
    -13.00   -0.3282    0.0773
    -12.00   -0.3156    0.0649
    -11.00   -0.3006    0.0536
    -10.00   -0.6130    0.0193
     -9.50   -0.5623    0.0182
     -9.00   -0.5115    0.0172
     -8.50   -0.4596    0.0163
     -8.00   -0.4080    0.0156
     -7.50   -0.3554    0.0149
     -7.00   -0.3021    0.0142
     -6.00   -0.1947    0.0132
     -5.50   -0.1406    0.0128
     -5.00   -0.0865    0.0124
     -4.50   -0.0323    0.0121
     -4.00    0.0218    0.0118
     -3.50    0.0759    0.0116
     -3.00    0.1298    0.0114
     -2.50    0.1837    0.0113
     -2.00    0.2375    0.0112
     -1.50    0.2912    0.0111
     -1.00    0.3447    0.0111
     -0.50    0.3984    0.0110
      0.00    0.4518    0.0110
      0.50    0.5047    0.0109
      1.00    0.5559    0.0106
      1.50    0.6061    0.0104
      2.00    0.6533    0.0103
      2.50    0.7136    0.0104
      3.00    0.7855    0.0107
      3.50    0.8344    0.0110
      4.00    0.8835    0.0113
      4.50    0.9330    0.0116
      5.00    0.9823    0.0120
      5.50    1.0308    0.0124
      6.00    1.0782    0.0128
      6.50    1.1239    0.0132
      7.00    1.1675    0.0138
      7.50    1.2061    0.0144
      8.00    1.2409    0.0152
      8.50    1.2739    0.0162
      9.00    1.3040    0.0174
      9.50    1.3313    0.0188
     10.00    1.3557    0.0205
     10.50    1.3764    0.0224
     11.00    1.3948    0.0247
     11.50    1.4108    0.0273
     12.00    1.4247    0.0303
     12.50    1.4371    0.0336
     13.00    1.4465    0.0373
     13.50    1.4540    0.0415
     14.00    1.4601    0.0461
     14.50    1.4637    0.0512
     15.00    1.4648    0.0568
     15.50    1.4652    0.0627
     16.00    1.4635    0.0690
     16.50    1.4593    0.0758
     17.00    1.4544    0.0828
     17.50    1.4488    0.0900
     18.00    1.4413    0.0977
     18.50    1.4352    0.1053
     19.00    1.4277    0.1131
     19.50    1.4217    0.1209
     20.00    1.4160    0.1288
     20.50    1.4098    0.1368
     21.00    1.4065    0.1445
     21.50    1.4014    0.1526
     22.00    1.3985    0.1603
     22.50    1.3960    0.1681
     23.00    1.3920    0.1763
     23.50    1.3908    0.1840
     24.00    1.3887    0.1919
     24.50    1.3859    0.2001
     25.00    1.3843    0.2081
     26.00    1.3551    0.2747
     27.00    1.3500    0.3009
     28.00    1.3466    0.3278
     29.00    1.3447    0.3553
     30.00    1.3442    0.3834
     31.00    1.3449    0.4120
     32.00    1.3466    0.4410
     33.00    1.3491    0.4705
     34.00    1.3523    0.5004
     35.00    1.3559    0.5306
     36.00    1.3599    0.5612
     37.00    1.3640    0.5920
     38.00    1.3682    0.6231
     39.00    1.3722    0.6544
     40.00    1.3760    0.6858
     41.00    1.3794    0.7174
     42.00    1.3824    0.7491
     43.00    1.3849    0.7808
     44.00    1.3866    0.8126
     45.00    1.3877    0.8444
     46.00    1.3880    0.8761
     47.00    1.3873    0.9078
     48.00    1.3858    0.9394
     49.00    1.3832    0.9708
     50.00    1.3796    1.0021
     51.00    1.3749    1.0331
     52.00    1.3691    1.0639
     53.00    1.3621    1.0944
     54.00    1.3539    1.1246
     55.00    1.3444    1.1544
     56.00    1.3337    1.1839
     57.00    1.3217    1.2129
     58.00    1.3084    1.2415
     59.00    1.2938    1.2696
     60.00    1.2779    1.2972
     61.00    1.2606    1.3242
     62.00    1.2420    1.3506
     63.00    1.2221    1.3764
     64.00    1.2008    1.4016
     65.00    1.1782    1.4261
     66.00    1.1543    1.4499
     67.00    1.1291    1.4730
     68.00    1.1025    1.4953
     69.00    1.0748    1.5168
     70.00    1.0457    1.5375
     71.00    1.0154    1.5573
     72.00    0.9840    1.5763
     73.00    0.9513    1.5944
     74.00    0.9175    1.6117
     75.00    0.8826    1.6279
     76.00    0.8466    1.6433
     77.00    0.8095    1.6576
     78.00    0.7715    1.6710
     79.00    0.7325    1.6834
     80.00    0.6925    1.6948
     81.00    0.6517    1.7052
     82.00    0.6101    1.7145
     83.00    0.5677    1.7228
     84.00    0.5246    1.7300
     85.00    0.4809    1.7361
     86.00    0.4365    1.7412
     87.00    0.3915    1.7452
     88.00    0.3461    1.7481
     89.00    0.3002    1.7499
     90.00    0.2540    1.7506
     91.00    0.2074    1.7503
     92.00    0.1606    1.7488
     93.00    0.1136    1.7463
     94.00    0.0665    1.7426
     95.00    0.0193    1.7379
     96.00   -0.0279    1.7322
     97.00   -0.0750    1.7253
     98.00   -0.1220    1.7174
     99.00   -0.1688    1.7085
    100.00   -0.2153    1.6985
    101.00   -0.2614    1.6875
    102.00   -0.3072    1.6755
    103.00   -0.3525    1.6625
    104.00   -0.3972    1.6486
    105.00   -0.4414    1.6337
    106.00   -0.4849    1.6178
    107.00   -0.5276    1.6010
    108.00   -0.5696    1.5834
    109.00   -0.6265    1.5648
    110.00   -0.6664    1.5455
    111.00   -0.7053    1.5252
    112.00   -0.7432    1.5042
    113.00   -0.7800    1.4824
    114.00   -0.8156    1.4599
    115.00   -0.8501    1.4367
    116.00   -0.8834    1.4127
    117.00   -0.9153    1.3881
    118.00   -0.9459    1.3629
    119.00   -0.9752    1.3371
    120.00   -1.0030    1.3107
    121.00   -1.0294    1.2838
    122.00   -1.0543    1.2564
    123.00   -1.0776    1.2286
    124.00   -1.0994    1.2003
    125.00   -1.1196    1.1716
    126.00   -1.1382    1.1426
    127.00   -1.1551    1.1133
    128.00   -1.1704    1.0836
    129.00   -1.1840    1.0538
    130.00   -1.1959    1.0237
    131.00   -1.2061    0.9934
    132.00   -1.2145    0.9630
    133.00   -1.2213    0.9325
    134.00   -1.2263    0.9020
    135.00   -1.2297    0.8714
    136.00   -1.2313    0.8409
    137.00   -1.2312    0.8104
    138.00   -1.2294    0.7800
    139.00   -1.2259    0.7498
    140.00   -1.2208    0.7197
    141.00   -1.2141    0.6898
    142.00   -1.2057    0.6601
    143.00   -1.1958    0.6307
    144.00   -1.1843    0.6017
    145.00   -1.1713    0.5730
    146.00   -1.1568    0.5446
    147.00   -1.1409    0.5167
    148.00   -1.1236    0.4892
    149.00   -1.1050    0.4622
    150.00   -1.0851    0.4358
    151.00   -1.0640    0.4099
    152.00   -1.0418    0.3845
    153.00   -1.0185    0.3598
    154.00   -0.9943    0.3357
    155.00   -0.9691    0.3123
    156.00   -0.9431    0.2895
    157.00   -0.9165    0.2675
    158.00   -0.8894    0.2462
    159.00   -0.8618    0.2257
    160.00   -0.8341    0.2060
    161.00   -0.8064    0.1872
    162.00   -0.7790    0.1691
    163.00   -0.7524    0.1519
    164.00   -0.7269    0.1356
    165.00   -0.7032    0.1202
    166.00   -0.6821    0.1057
    167.00   -0.6645    0.0922
    168.00   -0.6515    0.0796
    169.00   -0.6439    0.0679
    170.00   -0.6419    0.0573
    171.00   -0.6433    0.0476
    172.00   -0.6424    0.0389
    173.00   -0.6296    0.0312
    174.00   -0.5960    0.0245
    175.00   -0.5393    0.0189
    176.00   -0.4652    0.0143
    177.00   -0.3822    0.0106
    178.00   -0.2963    0.0081
    179.00   -0.2099    0.0065
    180.00   -0.1235    0.0060
    180.00   -0.1235    0.0060
